User_ID,Date,Age,Occupation,Sleep_Hours,Sleep_Quality,Screen_Time_Hours,Social_Media_Hours,Study_Work_Hours,Exercise_Minutes,Notifications_Received,Phone_Pickups,Caffeine_Cups,Stress_Score,Mood_Score,Productivity_Score,Tasks_Planned,Tasks_Completed,Weekend
U02207,2025-01-01,28,Analyst,6.3,8.0,6.5,2.0,10.7,42,145,94,1,4,9.0,100.0,8,4,No
U02443,2025-01-01,27,Teacher,7.0,8.0,6.7,1.7,9.0,15,114,87,0,6,8.0,89.1,6,2,No
U01081,2025-01-01,19,Freelancer,5.0,7.0,5.7,2.1,8.3,48,123,59,0,5,10.0,75.6,10,5,Yes
U02967,2025-01-01,28,Software Engineer,6.6,10.0,3.9,2.3,7.0,23,98,81,1,3,9.0,84.1,8,7,Yes
U03240,2025-01-01,49,Teacher,6.1,9.0,4.1,2.5,7.5,43,64,64,4,3,10.0,90.2,12,7,No
U02009,2025-01-01,53,Designer,6.2,10.0,6.4,4.7,8.9,6,165,97,1,6,10.0,75.0,8,6,Yes
U06442,2025-01-01,35,Teacher,6.8,10.0,7.4,3.3,8.7,30,105,89,0,7,5.0,75.0,6,3,Yes
U00819,2025-01-01,32,Freelancer,8.3,10.0,8.2,3.1,5.8,7,136,99,4,5,9.0,81.2,14,8,No
U03563,2025-01-01,38,Software Engineer,9.5,10.0,4.7,2.0,9.6,20,132,58,0,4,10.0,100.0,4,2,No
U04023,2025-01-01,47,Freelancer,7.4,10.0,5.7,0.4,7.1,67,67,52,4,2,10.0,88.2,8,4,No
U04027,2025-01-01,30,Teacher,5.7,8.0,4.6,2.0,10.0,89,87,91,5,3,9.0,100.0,3,2,No
U00788,2025-01-01,43,Analyst,7.8,10.0,3.2,2.7,9.4,12,104,45,0,4,10.0,91.5,7,6,No
U06269,2025-01-01,24,Analyst,7.7,10.0,7.0,2.9,7.8,38,120,107,3,2,8.0,94.8,7,6,No
U01222,2025-01-01,46,Analyst,6.9,8.0,6.9,2.7,10.4,27,124,78,2,5,8.0,84.5,7,6,Yes
U06245,2025-01-01,56,Freelancer,8.0,10.0,4.9,1.5,9.8,56,119,65,1,3,8.0,96.1,6,3,Yes
