Record_ID,City,Day_of_Week,Hour,Weather,Traffic_Level,Vehicle_Type,Road_Type,Speed_Limit_kmh,Average_Speed_kmh,Pedestrian_Count,Visibility_Percent,Near_Miss_Score,Incident
1,Peshawar,Thursday,6,Cloudy,Medium,Motorcycle,Main Road,60,51.7,11,82.3,40.2,0
2,Karachi,Friday,19,Clear,Medium,Bus,Residential,50,51.8,10,91.1,31.6,0
3,Rawalpindi,Friday,14,Clear,Medium,Rickshaw,Residential,50,74.7,11,82.2,44.8,0
4,Peshawar,Sunday,10,Rain,High,Car,Main Road,60,39.4,7,74.0,35.6,0
5,Rawalpindi,Saturday,7,Rain,Severe,Rickshaw,Highway,100,62.5,8,97.3,57.1,1
6,Karachi,Wednesday,20,Clear,Severe,Motorcycle,Residential,50,10.0,8,100.0,48.6,0
7,Quetta,Thursday,6,Cloudy,High,Motorcycle,Residential,50,36.0,8,100.0,39.9,0
8,Multan,Tuesday,18,Cloudy,Medium,Car,Market,50,10.0,19,90.0,15.1,0
9,Rawalpindi,Wednesday,22,Clear,Low,Van,Main Road,60,65.4,9,83.6,27.0,0
10,Multan,Tuesday,10,Clear,Medium,Car,Highway,100,106.1,6,88.2,36.0,0
11,Multan,Monday,10,Rain,Medium,Car,Residential,50,14.2,8,77.4,36.7,0
12,Quetta,Friday,23,Clear,Severe,Car,Main Road,60,15.1,6,99.6,34.0,0
13,Karachi,Monday,20,Dust,Low,Motorcycle,Main Road,60,43.6,7,61.4,21.4,0
14,Rawalpindi,Sunday,3,Cloudy,High,Bus,Main Road,60,20.5,15,85.3,50.4,1
15,Rawalpindi,Friday,7,Dust,Severe,Motorcycle,Main Road,60,24.4,6,72.0,54.2,0
16,Quetta,Saturday,23,Clear,High,Car,Main Road,60,50.2,10,72.4,55.1,0
17,Islamabad,Wednesday,2,Rain,High,Bus,School Zone,40,36.9,44,90.5,62.8,1
18,Quetta,Tuesday,21,Clear,Medium,Car,Residential,50,43.6,10,88.6,15.1,0
19,Quetta,Sunday,20,Rain,Low,Van,Market,50,53.6,27,77.1,46.0,0
20,Quetta,Saturday,1,Clear,Low,Motorcycle,Main Road,60,61.9,12,94.5,51.6,0
